,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
173,The Black Eyed Peas,Pump It,213067,2006,0.649,0.931,1,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645
174,Eminem,When I'm Gone,281133,2006,0.619,0.746,10,-5.479,0.36,0.0537,0.0,0.295,0.757,149.944
175,Madonna,Hung Up,337733,2006,0.649,0.647,9,-7.695,0.0452,0.0039,0.161,0.0686,0.405,125.02
176,Three 6 Mafia ,Stay Fly,236600,2006,0.789,0.881,11,-5.758,0.0331,0.108,0.0,0.355,0.647,133.301
177,Keyshia Cole,Love,255333,2006,0.688,0.519,5,-4.285,0.0283,0.064,0.0,0.1,0.318,116.714
178,Ne-Yo,When You're Mad,222000,2006,0.66,0.548,6,-7.127,0.215,0.364,0.0,0.108,0.436,86.947
179,T.I.,Why You Wanna,215000,2006,0.802,0.772,1,-4.893,0.192,0.358,0.0,0.0603,0.654,96.046
180,P!nk,Stupid Girls,197173,2006,0.689,0.886,4,-5.045,0.0639,0.000739,0.00187,0.0524,0.568,100.029
181,Gorillaz,Feel Good Inc,222640,2006,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559
182,Taylor Hicks,Do I Make You Proud,248693,2006,0.463,0.524,1,-8.207,0.0316,0.026,0.0,0.102,0.308,144.055
183,Teddy Geiger,For You I Will (Confidence),228880,2006,0.315,0.751,1,-5.74,0.0517,0.0041,0.0,0.0984,0.272,119.566
184,Beyonce,Irreplaceable,227853,2007,0.447,0.694,7,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868
185,Rihanna ,Umbrella,275987,2007,0.583,0.829,1,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
186,Gwen Stefani ,The Sweet Escape,246467,2007,0.755,0.765,1,-3.475,0.0356,0.218,0.0,0.162,0.737,119.954
187,Fergie,Big Girls Don't Cry,268120,2007,0.708,0.641,7,-4.296,0.0336,0.205,0.0,0.0945,0.253,113.082
188,T-Pain ,Buy U A Drank (Shawty Snappin'),227960,2007,0.451,0.55,1,-8.137,0.262,0.0108,0.0,0.0737,0.594,80.001
189,Carrie Underwood,Before He Cheats,199947,2007,0.519,0.749,6,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905
190,Plain White T's,Hey There Delilah,232533,2007,0.657,0.291,2,-10.572,0.0293,0.872,0.0,0.114,0.298,103.973
191,Akon ,I Wanna Love You,247067,2007,0.866,0.454,0,-9.383,0.0414,0.0373,1.49e-06,0.275,0.368,99.985
192,Nelly Furtado,Say It Right,223080,2007,0.871,0.869,1,-6.308,0.139,0.0409,0.00111,0.053,0.834,116.951
193,Fergie ,Glamorous,246573,2007,0.81,0.755,0,-6.408,0.201,0.288,0.0,0.0857,0.623,130.99
194,Avril Lavigne,Girlfriend,216600,2007,0.56,0.959,7,-2.433,0.102,0.000738,0.000206,0.209,0.67,163.983
195,Maroon 5,Makes Me Wonder,211080,2007,0.803,0.851,7,-2.429,0.0357,0.00485,0.000358,0.0577,0.881,113.996
196,Shop Boyz,Party Like A Rockstar,253400,2007,0.619,0.709,7,-4.633,0.0395,0.00558,0.0,0.507,0.68,144.972
197,Akon ,Smack That,212360,2007,0.939,0.742,5,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978
198,Mims,This Is Why I'm Hot,253707,2007,0.621,0.6,8,-6.349,0.576,0.277,0.0,0.495,0.485,80.021
199,Timbaland ,The Way I Are,179120,2007,0.731,0.807,3,-6.492,0.1,0.181,0.751,0.319,0.765,114.759
200,Fergie,Fergalicious,292373,2007,0.906,0.584,8,-7.72,0.316,0.0576,0.0,0.128,0.831,129.055
201,Timbaland ,Give It To Me,234027,2007,0.975,0.711,8,-3.904,0.0632,0.168,0.000552,0.0799,0.815,110.621
202,Justin Timberlake,What Goes Around...Comes Around,448573,2007,0.687,0.723,7,-4.751,0.0709,0.122,0.00102,0.573,0.432,76.0
203,The Fray,How To Save A Life,262533,2007,0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035
204,Daughtry,Home,255652,2007,0.443,0.853,6,-3.885,0.0361,0.00217,1.77e-06,0.198,0.338,143.986
205,Justin Timberlake ,My Love,276160,2007,0.772,0.68,11,-5.881,0.224,0.277,1.17e-05,0.682,0.807,119.953
206,Kanye West,Stronger,311867,2007,0.617,0.717,10,-7.858,0.153,0.00564,0.0,0.408,0.49,103.992
207,Jim Jones,We Fly High,236080,2007,0.685,0.8,1,-6.564,0.298,0.0847,0.0,0.092,0.483,120.226
208,P!nk,U + Ur Hand,214387,2007,0.709,0.89,0,-3.689,0.0531,0.00144,0.0,0.034,0.885,141.042
209,Unk,Walk It Out,173040,2007,0.794,0.777,1,-3.696,0.0813,0.0982,0.0,0.202,0.706,160.022
210,Sean Kingston,Beautiful Girls,225373,2007,0.762,0.661,1,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009
